value_id,label,feature,unimorph,language_id
excl,exclusive,clusivity,EXCL,kommoirangmantak
incl,inclusive,clusivity,INCL,kommoirangmantak
pl,plural,number,PL,kommoirangmantak
sg,singular,number,SG,kommoirangmantak
1,first person,person,1,kommoirangmantak
2,second person,person,2,kommoirangmantak
3,third person,person,3,kommoirangmantak
aff,affirmative,polarity,POS,kommoirangmantak
neg,negative,polarity,NEG,kommoirangmantak
fut,future,tense_aspect,FUT,kommoirangmantak
nfut,non-future,tense_aspect,,kommoirangmantak
