form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,source,page,language_id
kommoirangmantak001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak007,no_stem,3.pl,inmani,inmani,in+ma+ni,i n m a n i,i n + m a + n i,unspecified,,Kanshouwa2026Moirangmantak,nopage,kommoirangmantak
kommoirangmantak008,che,1.sg.fut.aff,che-ka-te,Σ-ka-te,Σ+ka+te,Σ k a t e,Σ + k a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak009,che,1.sg.fut.aff,ka-che-sik-ni,ka-Σ-sik-ni,ka+Σ+sik+ni,k a Σ s i k n i,k a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak010,che,1.pl.excl.fut.aff,che-kin-te,Σ-kin-te,Σ+kin+te,Σ k i n t e,Σ + k i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak011,che,1.pl.excl.fut.aff,kin-che-sik-ni,kin-Σ-sik-ni,kin+Σ+sik+ni,k i n Σ s i k n i,k i n + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak012,che,1.pl.incl.fut.aff,che-ni-te,Σ-ni-te,Σ+ni+te,Σ n i t e,Σ + n i + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak013,che,1.pl.incl.fut.aff,ni-che-sik-ni,ni-Σ-sik-ni,ni+Σ+sik+ni,n i Σ s i k n i,n i + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak014,mu,1.sg.2.sg.fut.aff,na-mu-ka-te,na-Σ-ka-te,na+Σ+ka+te,n a Σ k a t e,n a + Σ + k a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak015,mu,1.sg.2.sg.fut.aff,ka-na-mu-sik-ni,ka-na-Σ-sik-ni,ka+na+Σ+sik+ni,k a n a Σ s i k n i,k a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak016,mu,1.sg.2.pl.fut.aff,na-mu-ka-te,na-Σ-ka-te,na+Σ+ka+te,n a Σ k a t e,n a + Σ + k a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak017,mu,1.sg.2.pl.fut.aff,ka-na-mu-sik-ni,ka-na-Σ-sik-ni,ka+na+Σ+sik+ni,k a n a Σ s i k n i,k a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
