morph_id,morph,position,in_cells,in_forms,language_id
kommoirangmantakM01,a,free,3.sg,kommoirangmantak006,kommoirangmantak
kommoirangmantakM02,a,pre,3.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff,kommoirangmantak055; kommoirangmantak059; kommoirangmantak061; kommoirangmantak063; kommoirangmantak071; kommoirangmantak073; kommoirangmantak079; kommoirangmantak081; kommoirangmantak148; kommoirangmantak150; kommoirangmantak151; kommoirangmantak152; kommoirangmantak156; kommoirangmantak157; kommoirangmantak160; kommoirangmantak161,kommoirangmantak
kommoirangmantakM03,e ŋ,post,1.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,kommoirangmantak164; kommoirangmantak167; kommoirangmantak168; kommoirangmantak171; kommoirangmantak172,kommoirangmantak
kommoirangmantakM04,ei,free,1.pl.incl,kommoirangmantak003,kommoirangmantak
kommoirangmantakM05,i n,free,3.pl,kommoirangmantak007,kommoirangmantak
kommoirangmantakM06,i n,post,3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff,kommoirangmantak056; kommoirangmantak064; kommoirangmantak066; kommoirangmantak068; kommoirangmantak074; kommoirangmantak076; kommoirangmantak082; kommoirangmantak084,kommoirangmantak
kommoirangmantakM07,i n,pre,3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.sg.nfut.neg,kommoirangmantak057; kommoirangmantak065; kommoirangmantak067; kommoirangmantak069; kommoirangmantak075; kommoirangmantak077; kommoirangmantak083; kommoirangmantak085; kommoirangmantak149; kommoirangmantak153; kommoirangmantak154; kommoirangmantak155; kommoirangmantak158; kommoirangmantak159; kommoirangmantak162; kommoirangmantak163; kommoirangmantak203,kommoirangmantak
kommoirangmantakM08,i ŋ,post,1.sg.fut.neg; 1.pl.incl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.incl.3.pl.nfut.neg,kommoirangmantak086; kommoirangmantak088; kommoirangmantak089; kommoirangmantak094; kommoirangmantak096; kommoirangmantak098; kommoirangmantak166; kommoirangmantak174; kommoirangmantak176,kommoirangmantak
kommoirangmantakM09,k a,post,1.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff,kommoirangmantak008; kommoirangmantak014; kommoirangmantak016; kommoirangmantak022; kommoirangmantak024,kommoirangmantak
kommoirangmantakM10,k a,pre,1.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff,kommoirangmantak009; kommoirangmantak015; kommoirangmantak017; kommoirangmantak023; kommoirangmantak025; kommoirangmantak125; kommoirangmantak128; kommoirangmantak129; kommoirangmantak132; kommoirangmantak133,kommoirangmantak
kommoirangmantakM11,k ei,free,1.sg; 1.pl.excl,kommoirangmantak001; kommoirangmantak002,kommoirangmantak
kommoirangmantakM12,k ei,pre,3.sg.1.sg.nfut.aff,kommoirangmantak150,kommoirangmantak
kommoirangmantakM13,k i n,post,1.pl.excl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff,kommoirangmantak010; kommoirangmantak019; kommoirangmantak021; kommoirangmantak027; kommoirangmantak031,kommoirangmantak
kommoirangmantakM14,k i n,pre,1.pl.excl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff,kommoirangmantak011; kommoirangmantak018; kommoirangmantak020; kommoirangmantak026; kommoirangmantak030; kommoirangmantak126; kommoirangmantak130; kommoirangmantak131; kommoirangmantak134; kommoirangmantak136,kommoirangmantak
kommoirangmantakM15,m a,free,3.sg; 3.pl,kommoirangmantak006; kommoirangmantak007,kommoirangmantak
kommoirangmantakM16,m a,post,1.sg.nfut.neg; 1.pl.excl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.sg.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.sg.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,kommoirangmantak164; kommoirangmantak165; kommoirangmantak167; kommoirangmantak168; kommoirangmantak169; kommoirangmantak170; kommoirangmantak171; kommoirangmantak172; kommoirangmantak173; kommoirangmantak174; kommoirangmantak175; kommoirangmantak189; kommoirangmantak190; kommoirangmantak194; kommoirangmantak195; kommoirangmantak196; kommoirangmantak199; kommoirangmantak200; kommoirangmantak203; kommoirangmantak204; kommoirangmantak205,kommoirangmantak
kommoirangmantakM17,m a k,post,1.pl.incl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg,kommoirangmantak166; kommoirangmantak176; kommoirangmantak177; kommoirangmantak178; kommoirangmantak179; kommoirangmantak180; kommoirangmantak181; kommoirangmantak182; kommoirangmantak183; kommoirangmantak184; kommoirangmantak185; kommoirangmantak186; kommoirangmantak187; kommoirangmantak188; kommoirangmantak191; kommoirangmantak192; kommoirangmantak193; kommoirangmantak197; kommoirangmantak198; kommoirangmantak202,kommoirangmantak
kommoirangmantakM18,n,post,1.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.3.sg.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg,kommoirangmantak086; kommoirangmantak089; kommoirangmantak094; kommoirangmantak099; kommoirangmantak100; kommoirangmantak101; kommoirangmantak102; kommoirangmantak105; kommoirangmantak106,kommoirangmantak
